Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info
2024-10-30 00:00:00.000;TCZP3249;IT0017495;INC21110073;Kalibracja;n/d;
2024-10-30 00:00:00.000;TCZP1177;IT0011927;INC21116653;.Nie jestem w stanie wybraç odpowiedniej kategorii;n/d;
2024-10-30 00:00:00.000;TCZP1218;IT0011935;INC21119336;Wymiana mediow;n/d;
2024-10-31 00:00:00.000;TCZQ0083;IT0037737;INC21111506;Problem sieciowy;n/d;
2024-10-31 00:00:00.000;TCZP3164;IT0017496;INC21122615;Kalibracja;n/d;
2024-10-31 00:00:00.000;TCZQ0083;IT0037737;TPM;Kalibracja;n/a;
2024-10-23 00:00:00.000;TCZP1194;IT0024850;INC21033668;.Nie jestem w stanie wybraç odpowiedniej kategorii;n/d;Drukarka jest po wymianie p∏yty g∏ównej i nie trzyma znów ustawieƒ. Podmieni∏em bateri´, ale nic to nie da∏o.
2024-11-04 00:00:00.000;TCZP1194;IT0018879;INC21164739;Kalibracja;n/d;
2024-11-04 00:00:00.000;TCZP1150;IT0025867;INC21164710;Kalibracja;n/d;
2024-11-04 00:00:00.000;TCZP4088;IT0038156;INC21167133;Kalibracja;n/d;
2024-11-05 00:00:00.000;TCZP3227;IT0023153;INC21176992;Kalibracja;n/d;
2024-11-05 00:00:00.000;TCZP1086;IT0019465;INC21183663;Kalibracja;n/d;reset do defaulta, kalibracja, wypozycjonowanie nadruku
2024-11-05 00:00:00.000;TCZP3222;IT0023140;INC21184974;Kalibracja;n/d;weryfikacja problemu, reset do defaulta, kalibracja, wypozycjonowanie nadruku, zmiana docisków
2024-11-06 00:00:00.000;TCZP1187;IT0002264;INC21193346;Kalibracja;n/d;
2024-11-06 00:00:00.000;TCZP2057;IT0021132;INC21191304;Problem sieciowy;-;reset defaults usawien, wczyszczenie pamieci drukarki
2024-11-06 00:00:00.000;TCZP3248;IT0024354;INC21205468;Wymiana mediow;n/d;
2024-11-07 00:00:00.000;TCZP1177;IT0011927;INC21140550;.Nie jestem w stanie wybraç odpowiedniej kategorii;n/d;
