Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;üˆczna liczba wydruk—w;Okres przeglˆdu;Limit wydruk—w;Total
00740;IT0020002;TCZP1137;hellermann300dpi;H4181V200700039;b2;stanowisko mechatronika 1a;184;0;184;P—¸roczny;100000;10471
00741;IT0020114;TCZP3156;hellermann,300dpi;H4181V200700099;b2;visualinspection5.9;32;0;32;P—¸roczny;100000;9106
00742;IT0020115;TCZP1230;hellermann,600dpi;H5181V200700011;b2;kitting 4;1893;0;1893;P—¸roczny;100000;9684
00744;HW1007471;TCZP3155;ttbp6;H5181V200700010;b4;;33612;0;33612;P—¸roczny;100000;1173288
00747;IT0020820;TCZP1081;hellermann,300dpi;H4184V200700025;b2;pakowanie1.8;1069;0;1069;P—¸roczny;100000;29680
00750;IT0020823;TCZP1103;ttbp3  pp1300i;H4183V200700034;b4;pakowanie linia 1;0;0;0;P—¸roczny;100000;15
00753;IT0020826;TCZP1220;ttbp6 bp1600i;H5181V200700017;b4;jabra;83780;0;83780;P—¸roczny;100000;260891
00754;IT0020829;TCZP1101;ttbp3  pp1300i;H4183V200700077;b2;naprawy;0;0;0;P—¸roczny;100000;224425
00756;IT0020828;TCZP1040;ttbp3  pp1300i;H4184V200700084;b4;pakowanie linia 1;5145;0;5145;P—¸roczny;100000;83388
00757;IT0020836;...;ttbp6 600 dpi;H518CV200900102;b4;manual assembly;326312;0;326312;P—¸roczny;100000;1504535
00759;IT0021130;TCZP1188;ttbp3 (bp1300i);H4183V200700065;b2;laminaty;0;0;0;P—¸roczny;100000;3591
00761;IT0021115;TCZP1157;hellermann,300dpi;H4194V200900036;b3bis;wysylki;0;0;0;P—¸roczny;100000;24
